Date,Open,High,Low,Close,Adj Close,Volume
4/3/20,8356.55,8356.55,8055.8,8083.8,8083.8,697752438
4/7/20,8446.3,8819.4,8360.95,8792.2,8792.2,815245226
4/8/20,8688.9,9131.7,8653.9,8748.75,8748.75,897562690
4/9/20,8973.05,9128.35,8904.55,9111.9,9111.9,743036134
4/13/20,9103.95,9112.05,8912.4,8993.85,8993.85,644468815
4/15/20,9196.4,9261.2,8874.1,8925.3,8925.3,880159358
4/16/20,8851.25,9053.75,8821.9,8992.8,8992.8,720116479
4/17/20,9323.45,9324,9091.35,9266.75,9266.75,684910520
4/20/20,9390.2,9390.85,9230.8,9261.85,9261.85,726364699
4/21/20,9016.95,9044.4,8909.4,8981.45,8981.45,655122903
4/22/20,9026.75,9209.75,8946.25,9187.3,9187.3,734383388
4/23/20,9232.35,9343.6,9170.15,9313.9,9313.9,666650462
4/24/20,9163.9,9296.9,9141.3,9154.4,9154.4,659439249
4/27/20,9259.7,9377.1,9250.35,9282.3,9282.3,512793298
4/28/20,9389.8,9404.4,9260,9380.9,9380.9,614548983
4/29/20,9408.6,9599.85,9392.35,9553.35,9553.35,653026950
4/30/20,9753.5,9889.05,9731.5,9859.9,9859.9,931173802
5/4/20,9533.5,9533.5,9266.95,9293.5,9293.5,687487134
5/5/20,9429.4,9450.9,9190.75,9205.6,9205.6,725196178
5/6/20,9226.8,9346.9,9116.5,9270.9,9270.9,722185448
5/7/20,9234.05,9277.85,9175.9,9199.05,9199.05,708740416
5/8/20,9376.95,9382.65,9238.2,9251.5,9251.5,609053504
5/11/20,9348.15,9439.9,9219.95,9239.2,9239.2,704647074
5/12/20,9168.85,9240.85,9043.95,9196.55,9196.55,805458787
5/13/20,9584.2,9584.5,9351.1,9383.55,9383.55,846395245
5/14/20,9213.95,9281.1,9119.75,9142.75,9142.75,602555564
5/15/20,9182.4,9182.4,9050,9136.85,9136.85,575857112
5/18/20,9158.3,9158.3,8806.75,8823.25,8823.25,772983297
5/19/20,8961.7,9030.35,8855.3,8879.1,8879.1,762152894
5/20/20,8889.15,9093.8,8875.35,9066.55,9066.55,622308140
5/21/20,9079.45,9178.55,9056.1,9106.25,9106.25,631542699
5/22/20,9067.9,9149.6,8968.55,9039.25,9039.25,675759336
5/26/20,9099.75,9161.65,8996.65,9029.05,9029.05,654959960
5/27/20,9082.2,9334,9004.25,9314.95,9314.95,763492487
5/28/20,9364.95,9511.25,9336.5,9490.1,9490.1,837911425
5/29/20,9422.2,9598.85,9376.9,9580.3,9580.3,967005438
6/1/20,9726.85,9931.6,9706.95,9826.15,9826.15,794183122
6/2/20,9880.85,9995.6,9824.05,9979.1,9979.1,770192848
6/3/20,10108.3,10176.2,10035.55,10061.55,10061.55,794664422
6/4/20,10054.25,10123.85,9944.25,10029.1,10029.1,775106567
6/5/20,10093.8,10177.8,10040.75,10142.15,10142.15,987122302
6/8/20,10326.75,10328.5,10120.25,10167.45,10167.45,936485541
6/9/20,10181.15,10291.15,10021.45,10046.65,10046.65,754217460
6/10/20,10072.6,10148.75,10036.85,10116.15,10116.15,632383068
6/11/20,10094.1,10112.05,9885.05,9902,9902,715453486
6/12/20,9544.95,9996.05,9544.35,9972.9,9972.9,796306399
6/15/20,9919.35,9943.35,9726.35,9813.7,9813.7,716053036
6/16/20,10014.8,10046.15,9728.5,9914,9914,899895044
6/17/20,9876.7,10003.6,9833.8,9881.15,9881.15,685418390
6/18/20,9863.25,10111.2,9845.05,10091.65,10091.65,622895963
6/19/20,10119,10272.4,10072.65,10244.4,10244.4,892096343
6/22/20,10318.75,10393.65,10277.6,10311.2,10311.2,685385093
